expected_file,expected_size_bytes,generated_candidate_count,covered,text_file,canonical_match_any_candidate,byte_match_any_candidate
testpm10_1988.out,30366,2,True,True,False,False
TESTPM10_1988.SUM,16492,2,True,True,False,False
TESTPM10_1988_ERRORS.OUT,331634,2,True,True,True,False
testpm10_1989.out,30366,2,True,True,False,False
TESTPM10_1989.SUM,16492,2,True,True,False,False
TESTPM10_1989_ERRORS.OUT,459884,2,True,True,True,False
testpm10_1990.out,30367,2,True,True,False,False
TESTPM10_1990.SUM,16492,2,True,True,False,False
TESTPM10_1990_ERRORS.OUT,576829,2,True,True,True,False
TESTPM10_ERRORS.OUT,607419,1,True,True,True,False
TESTPM10_MAXIFILE.OUT,2069,1,True,True,False,False
TESTPM10_MULTYR_SEASHR.FIL,367032,6,True,True,False,False
TESTPM10_SEASHR.FIL,367024,1,True,True,False,False
testpm25.out,70038,1,True,True,False,False
TESTPM25.SUM,47829,1,True,True,False,False
TESTPM25_ERRORS.OUT,607419,1,True,True,True,False
TESTPM25_SEASHR.FIL,367024,1,True,True,False,False
testprt2.out,581258,1,True,True,True,False
TESTPRT2.SUM,147019,1,True,True,True,False
TESTPRT2_ERRORS.OUT,328594,1,True,True,True,False
TESTPRT2_SEASHR.DAT,926989,1,True,True,True,False
URBDBG.DBG,19215,1,True,True,True,False
URBDBG1.DBG,117100,1,True,True,True,False
URBDBG2.DBG,548787,1,True,True,True,False
