pathway,keyword,dispatch_file,dispatch_routine,branch_start_line,branch_end_line,called_routines,handler_candidates,evidence_status
ME,WDROTATE,meset.f,MECARD,134,144,ERRHDL;WDROTA,WDROTA,confirmed-source
ME,SITEDATA,meset.f,MECARD,145,155,ERRHDL;ONDATA,ONDATA,confirmed-source
ME,PROFBASE,meset.f,MECARD,156,166,ERRHDL;PRBASE,PRBASE,confirmed-source
ME,WINDCATS,meset.f,MECARD,167,177,ERRHDL;WSCATS,WSCATS,confirmed-source
ME,SCIMBYHR,meset.f,MECARD,178,188,ERRHDL;SCIMIT,SCIMIT,confirmed-source
ME,NUMYEARS,meset.f,MECARD,189,201,ERRHDL;NUMYR,NUMYR,confirmed-source
ME,NOSA,meset.f,MECARD,202,215,ERRHDL;TURBOPT,TURBOPT,confirmed-source
ME,NOSACO,meset.f,MECARD,202,215,ERRHDL;TURBOPT,TURBOPT,confirmed-source
ME,NOSAST,meset.f,MECARD,202,215,ERRHDL;TURBOPT,TURBOPT,confirmed-source
ME,NOSW,meset.f,MECARD,202,215,ERRHDL;TURBOPT,TURBOPT,confirmed-source
ME,NOSWCO,meset.f,MECARD,202,215,ERRHDL;TURBOPT,TURBOPT,confirmed-source
ME,NOSWST,meset.f,MECARD,202,215,ERRHDL;TURBOPT,TURBOPT,confirmed-source
ME,NOTURB,meset.f,MECARD,202,215,ERRHDL;TURBOPT,TURBOPT,confirmed-source
ME,NOTURBCO,meset.f,MECARD,202,215,ERRHDL;TURBOPT,TURBOPT,confirmed-source
ME,NOTURBST,meset.f,MECARD,202,215,ERRHDL;TURBOPT,TURBOPT,confirmed-source
EV,EVENTPER,evset.f,EVCARD,57,68,EVPER,EVPER,confirmed-source
EV,EVENTLOC,evset.f,EVCARD,69,73,EVLOC,EVLOC,confirmed-source
EV,INCLUDED,evset.f,EVCARD,74,82,INCLUD,INCLUD,confirmed-source
OU,RECTABLE,ouset.f,OUCARD,46,50,OUHIGH,OUHIGH,confirmed-source
OU,MAXTABLE,ouset.f,OUCARD,51,55,OUMXVL,OUMXVL,confirmed-source
OU,DAYTABLE,ouset.f,OUCARD,56,64,OUDALY;ERRHDL,OUDALY,confirmed-source
OU,MAXIFILE,ouset.f,OUCARD,65,69,OUMXFL,OUMXFL,confirmed-source
OU,POSTFILE,ouset.f,OUCARD,70,74,OUPOST,OUPOST,confirmed-source
OU,PLOTFILE,ouset.f,OUCARD,75,79,OUPLOT,OUPLOT,confirmed-source
OU,TOXXFILE,ouset.f,OUCARD,80,84,OUTOXX,OUTOXX,confirmed-source
OU,SEASONHR,ouset.f,OUCARD,85,94,OUSEAS;ERRHDL,OUSEAS,confirmed-source
OU,RANKFILE,ouset.f,OUCARD,95,99,OURANK,OURANK,confirmed-source
OU,EVALFILE,ouset.f,OUCARD,100,104,OUEVAL,OUEVAL,confirmed-source
OU,SUMMFILE,ouset.f,OUCARD,105,113,OUSUMM;ERRHDL,OUSUMM,confirmed-source
OU,FILEFORM,ouset.f,OUCARD,114,122,FILEFORM;ERRHDL,FILEFORM,confirmed-source
OU,MAXDAILY,ouset.f,OUCARD,123,142,OUMAXDLY;ERRHDL,OUMAXDLY,confirmed-source
OU,MXDYBYYR,ouset.f,OUCARD,143,162,OUMXDLY_BYYR;ERRHDL,OUMXDLY_BYYR,confirmed-source
OU,MAXDCONT,ouset.f,OUCARD,163,182,OUMAXD_CONT;ERRHDL,OUMAXD_CONT,confirmed-source
OU,NOHEADER,ouset.f,OUCARD,183,191,NOHEADER;ERRHDL,NOHEADER,confirmed-source
OU,EVENTOUT,evset.f,EV_OUCARD,809,817,OEVENT;ERRHDL,OEVENT,confirmed-source-event-mode
